0.125	0.0625	0.0625	0.447
0.125	0.0625	0.125	0.446
0.125	0.0625	0.25	0.444
0.125	0.0625	0.5	0.444
0.125	0.0625	1	0.442
0.125	0.0625	2	0.435
0.125	0.0625	4	0.409
0.125	0.0625	8	0.388
0.125	0.0625	16	0.382
0.125	0.0625	32	0.359
0.125	0.0625	64	0.341
0.125	0.125	0.0625	0.464
0.125	0.125	0.125	0.459
0.125	0.125	0.25	0.437
0.125	0.125	0.5	0.431
0.125	0.125	1	0.435
0.125	0.125	2	0.431
0.125	0.125	4	0.422
0.125	0.125	8	0.41
0.125	0.125	16	0.392
0.125	0.125	32	0.373
0.125	0.125	64	0.342
0.125	0.25	0.0625	0.486
0.125	0.25	0.125	0.481
0.125	0.25	0.25	0.475
0.125	0.25	0.5	0.437
0.125	0.25	1	0.404
0.125	0.25	2	0.389
0.125	0.25	4	0.378
0.125	0.25	8	0.381
0.125	0.25	16	0.361
0.125	0.25	32	0.334
0.125	0.25	64	0.297
0.125	0.5	0.0625	0.486
0.125	0.5	0.125	0.485
0.125	0.5	0.25	0.482
0.125	0.5	0.5	0.446
0.125	0.5	1	0.41
0.125	0.5	2	0.398
0.125	0.5	4	0.382
0.125	0.5	8	0.359
0.125	0.5	16	0.347
0.125	0.5	32	0.32
0.125	0.5	64	0.272
0.125	1	0.0625	0.499
0.125	1	0.125	0.495
0.125	1	0.25	0.492
0.125	1	0.5	0.447
0.125	1	1	0.423
0.125	1	2	0.405
0.125	1	4	0.394
0.125	1	8	0.372
0.125	1	16	0.353
0.125	1	32	0.314
0.125	1	64	0.275
0.125	2	0.0625	0.508
0.125	2	0.125	0.507
0.125	2	0.25	0.5
0.125	2	0.5	0.48
0.125	2	1	0.45
0.125	2	2	0.427
0.125	2	4	0.416
0.125	2	8	0.388
0.125	2	16	0.361
0.125	2	32	0.335
0.125	2	64	0.302
0.125	4	0.0625	0.522
0.125	4	0.125	0.518
0.125	4	0.25	0.519
0.125	4	0.5	0.501
0.125	4	1	0.49
0.125	4	2	0.448
0.125	4	4	0.437
0.125	4	8	0.404
0.125	4	16	0.387
0.125	4	32	0.367
0.125	4	64	0.349
0.125	8	0.0625	0.507
0.125	8	0.125	0.513
0.125	8	0.25	0.509
0.125	8	0.5	0.499
0.125	8	1	0.492
0.125	8	2	0.467
0.125	8	4	0.447
0.125	8	8	0.426
0.125	8	16	0.4
0.125	8	32	0.387
0.125	8	64	0.363
0.125	16	0.0625	0.493
0.125	16	0.125	0.495
0.125	16	0.25	0.502
0.125	16	0.5	0.497
0.125	16	1	0.494
0.125	16	2	0.477
0.125	16	4	0.46
0.125	16	8	0.431
0.125	16	16	0.421
0.125	16	32	0.388
0.125	16	64	0.365
0.125	32	0.0625	0.49
0.125	32	0.125	0.495
0.125	32	0.25	0.5
0.125	32	0.5	0.495
0.125	32	1	0.487
0.125	32	2	0.477
0.125	32	4	0.463
0.125	32	8	0.441
0.125	32	16	0.42
0.125	32	32	0.391
0.125	32	64	0.363
0.125	64	0.0625	0.49
0.125	64	0.125	0.494
0.125	64	0.25	0.497
0.125	64	0.5	0.496
0.125	64	1	0.483
0.125	64	2	0.472
0.125	64	4	0.469
0.125	64	8	0.443
0.125	64	16	0.426
0.125	64	32	0.387
0.125	64	64	0.365
0.25	0.0625	0.0625	0.403
0.25	0.0625	0.125	0.421
0.25	0.0625	0.25	0.424
0.25	0.0625	0.5	0.419
0.25	0.0625	1	0.414
0.25	0.0625	2	0.405
0.25	0.0625	4	0.375
0.25	0.0625	8	0.365
0.25	0.0625	16	0.351
0.25	0.0625	32	0.342
0.25	0.0625	64	0.333
0.25	0.125	0.0625	0.442
0.25	0.125	0.125	0.451
0.25	0.125	0.25	0.45
0.25	0.125	0.5	0.452
0.25	0.125	1	0.445
0.25	0.125	2	0.44
0.25	0.125	4	0.422
0.25	0.125	8	0.404
0.25	0.125	16	0.391
0.25	0.125	32	0.376
0.25	0.125	64	0.371
0.25	0.25	0.0625	0.477
0.25	0.25	0.125	0.471
0.25	0.25	0.25	0.467
0.25	0.25	0.5	0.453
0.25	0.25	1	0.447
0.25	0.25	2	0.44
0.25	0.25	4	0.429
0.25	0.25	8	0.417
0.25	0.25	16	0.396
0.25	0.25	32	0.38
0.25	0.25	64	0.347
0.25	0.5	0.0625	0.492
0.25	0.5	0.125	0.493
0.25	0.5	0.25	0.494
0.25	0.5	0.5	0.466
0.25	0.5	1	0.435
0.25	0.5	2	0.42
0.25	0.5	4	0.407
0.25	0.5	8	0.393
0.25	0.5	16	0.375
0.25	0.5	32	0.358
0.25	0.5	64	0.319
0.25	1	0.0625	0.501
0.25	1	0.125	0.497
0.25	1	0.25	0.491
0.25	1	0.5	0.474
0.25	1	1	0.435
0.25	1	2	0.424
0.25	1	4	0.417
0.25	1	8	0.39
0.25	1	16	0.366
0.25	1	32	0.333
0.25	1	64	0.305
0.25	2	0.0625	0.508
0.25	2	0.125	0.509
0.25	2	0.25	0.502
0.25	2	0.5	0.493
0.25	2	1	0.463
0.25	2	2	0.435
0.25	2	4	0.424
0.25	2	8	0.403
0.25	2	16	0.373
0.25	2	32	0.342
0.25	2	64	0.306
0.25	4	0.0625	0.52
0.25	4	0.125	0.52
0.25	4	0.25	0.517
0.25	4	0.5	0.492
0.25	4	1	0.479
0.25	4	2	0.454
0.25	4	4	0.442
0.25	4	8	0.405
0.25	4	16	0.39
0.25	4	32	0.367
0.25	4	64	0.339
0.25	8	0.0625	0.503
0.25	8	0.125	0.508
0.25	8	0.25	0.508
0.25	8	0.5	0.501
0.25	8	1	0.491
0.25	8	2	0.469
0.25	8	4	0.446
0.25	8	8	0.423
0.25	8	16	0.402
0.25	8	32	0.388
0.25	8	64	0.36
0.25	16	0.0625	0.492
0.25	16	0.125	0.496
0.25	16	0.25	0.501
0.25	16	0.5	0.499
0.25	16	1	0.497
0.25	16	2	0.474
0.25	16	4	0.462
0.25	16	8	0.437
0.25	16	16	0.419
0.25	16	32	0.384
0.25	16	64	0.361
0.25	32	0.0625	0.49
0.25	32	0.125	0.493
0.25	32	0.25	0.494
0.25	32	0.5	0.496
0.25	32	1	0.481
0.25	32	2	0.476
0.25	32	4	0.461
0.25	32	8	0.441
0.25	32	16	0.422
0.25	32	32	0.389
0.25	32	64	0.363
0.25	64	0.0625	0.488
0.25	64	0.125	0.492
0.25	64	0.25	0.493
0.25	64	0.5	0.494
0.25	64	1	0.484
0.25	64	2	0.475
0.25	64	4	0.473
0.25	64	8	0.445
0.25	64	16	0.428
0.25	64	32	0.391
0.25	64	64	0.361
0.5	0.0625	0.0625	0.285
0.5	0.0625	0.125	0.355
0.5	0.0625	0.25	0.362
0.5	0.0625	0.5	0.368
0.5	0.0625	1	0.365
0.5	0.0625	2	0.357
0.5	0.0625	4	0.349
0.5	0.0625	8	0.35
0.5	0.0625	16	0.338
0.5	0.0625	32	0.333
0.5	0.0625	64	0.329
0.5	0.125	0.0625	0.422
0.5	0.125	0.125	0.422
0.5	0.125	0.25	0.41
0.5	0.125	0.5	0.425
0.5	0.125	1	0.425
0.5	0.125	2	0.414
0.5	0.125	4	0.387
0.5	0.125	8	0.372
0.5	0.125	16	0.358
0.5	0.125	32	0.351
0.5	0.125	64	0.345
0.5	0.25	0.0625	0.455
0.5	0.25	0.125	0.453
0.5	0.25	0.25	0.454
0.5	0.25	0.5	0.458
0.5	0.25	1	0.449
0.5	0.25	2	0.447
0.5	0.25	4	0.429
0.5	0.25	8	0.414
0.5	0.25	16	0.395
0.5	0.25	32	0.382
0.5	0.25	64	0.378
0.5	0.5	0.0625	0.481
0.5	0.5	0.125	0.484
0.5	0.5	0.25	0.481
0.5	0.5	0.5	0.472
0.5	0.5	1	0.464
0.5	0.5	2	0.451
0.5	0.5	4	0.434
0.5	0.5	8	0.424
0.5	0.5	16	0.41
0.5	0.5	32	0.391
0.5	0.5	64	0.357
0.5	1	0.0625	0.492
0.5	1	0.125	0.492
0.5	1	0.25	0.49
0.5	1	0.5	0.488
0.5	1	1	0.46
0.5	1	2	0.443
0.5	1	4	0.434
0.5	1	8	0.413
0.5	1	16	0.4
0.5	1	32	0.389
0.5	1	64	0.352
0.5	2	0.0625	0.51
0.5	2	0.125	0.51
0.5	2	0.25	0.507
0.5	2	0.5	0.494
0.5	2	1	0.468
0.5	2	2	0.448
0.5	2	4	0.436
0.5	2	8	0.408
0.5	2	16	0.386
0.5	2	32	0.364
0.5	2	64	0.321
0.5	4	0.0625	0.511
0.5	4	0.125	0.514
0.5	4	0.25	0.513
0.5	4	0.5	0.504
0.5	4	1	0.483
0.5	4	2	0.457
0.5	4	4	0.442
0.5	4	8	0.403
0.5	4	16	0.387
0.5	4	32	0.364
0.5	4	64	0.343
0.5	8	0.0625	0.497
0.5	8	0.125	0.503
0.5	8	0.25	0.507
0.5	8	0.5	0.505
0.5	8	1	0.489
0.5	8	2	0.47
0.5	8	4	0.452
0.5	8	8	0.422
0.5	8	16	0.41
0.5	8	32	0.383
0.5	8	64	0.355
0.5	16	0.0625	0.493
0.5	16	0.125	0.494
0.5	16	0.25	0.499
0.5	16	0.5	0.502
0.5	16	1	0.485
0.5	16	2	0.479
0.5	16	4	0.453
0.5	16	8	0.441
0.5	16	16	0.419
0.5	16	32	0.393
0.5	16	64	0.358
0.5	32	0.0625	0.491
0.5	32	0.125	0.493
0.5	32	0.25	0.495
0.5	32	0.5	0.495
0.5	32	1	0.488
0.5	32	2	0.478
0.5	32	4	0.466
0.5	32	8	0.439
0.5	32	16	0.423
0.5	32	32	0.385
0.5	32	64	0.359
0.5	64	0.0625	0.49
0.5	64	0.125	0.492
0.5	64	0.25	0.495
0.5	64	0.5	0.493
0.5	64	1	0.482
0.5	64	2	0.471
0.5	64	4	0.467
0.5	64	8	0.446
0.5	64	16	0.428
0.5	64	32	0.39
0.5	64	64	0.364
1	0.0625	0.0625	0.269
1	0.0625	0.125	0.242
1	0.0625	0.25	0.25
1	0.0625	0.5	0.338
1	0.0625	1	0.337
1	0.0625	2	0.33
1	0.0625	4	0.333
1	0.0625	8	0.328
1	0.0625	16	0.32
1	0.0625	32	0.319
1	0.0625	64	0.314
1	0.125	0.0625	0.328
1	0.125	0.125	0.34
1	0.125	0.25	0.348
1	0.125	0.5	0.357
1	0.125	1	0.355
1	0.125	2	0.347
1	0.125	4	0.34
1	0.125	8	0.339
1	0.125	16	0.326
1	0.125	32	0.322
1	0.125	64	0.318
1	0.25	0.0625	0.413
1	0.25	0.125	0.413
1	0.25	0.25	0.416
1	0.25	0.5	0.423
1	0.25	1	0.422
1	0.25	2	0.414
1	0.25	4	0.391
1	0.25	8	0.372
1	0.25	16	0.352
1	0.25	32	0.352
1	0.25	64	0.344
1	0.5	0.0625	0.455
1	0.5	0.125	0.457
1	0.5	0.25	0.456
1	0.5	0.5	0.455
1	0.5	1	0.452
1	0.5	2	0.441
1	0.5	4	0.432
1	0.5	8	0.417
1	0.5	16	0.403
1	0.5	32	0.391
1	0.5	64	0.379
1	1	0.0625	0.486
1	1	0.125	0.484
1	1	0.25	0.484
1	1	0.5	0.485
1	1	1	0.474
1	1	2	0.468
1	1	4	0.446
1	1	8	0.431
1	1	16	0.42
1	1	32	0.416
1	1	64	0.386
1	2	0.0625	0.502
1	2	0.125	0.504
1	2	0.25	0.501
1	2	0.5	0.496
1	2	1	0.48
1	2	2	0.461
1	2	4	0.456
1	2	8	0.43
1	2	16	0.414
1	2	32	0.401
1	2	64	0.372
1	4	0.0625	0.505
1	4	0.125	0.506
1	4	0.25	0.506
1	4	0.5	0.507
1	4	1	0.492
1	4	2	0.468
1	4	4	0.446
1	4	8	0.419
1	4	16	0.403
1	4	32	0.372
1	4	64	0.346
1	8	0.0625	0.499
1	8	0.125	0.502
1	8	0.25	0.502
1	8	0.5	0.505
1	8	1	0.492
1	8	2	0.471
1	8	4	0.449
1	8	8	0.427
1	8	16	0.41
1	8	32	0.385
1	8	64	0.348
1	16	0.0625	0.491
1	16	0.125	0.494
1	16	0.25	0.494
1	16	0.5	0.499
1	16	1	0.489
1	16	2	0.481
1	16	4	0.458
1	16	8	0.434
1	16	16	0.412
1	16	32	0.379
1	16	64	0.343
1	32	0.0625	0.487
1	32	0.125	0.488
1	32	0.25	0.49
1	32	0.5	0.497
1	32	1	0.482
1	32	2	0.476
1	32	4	0.464
1	32	8	0.444
1	32	16	0.415
1	32	32	0.393
1	32	64	0.35
1	64	0.0625	0.486
1	64	0.125	0.488
1	64	0.25	0.491
1	64	0.5	0.496
1	64	1	0.481
1	64	2	0.471
1	64	4	0.462
1	64	8	0.439
1	64	16	0.428
1	64	32	0.392
1	64	64	0.357
2	0.0625	0.0625	0.134
2	0.0625	0.125	0.127
2	0.0625	0.25	0.207
2	0.0625	0.5	0.283
2	0.0625	1	0.3
2	0.0625	2	0.322
2	0.0625	4	0.321
2	0.0625	8	0.312
2	0.0625	16	0.317
2	0.0625	32	0.308
2	0.0625	64	0.295
2	0.125	0.0625	0.187
2	0.125	0.125	0.187
2	0.125	0.25	0.193
2	0.125	0.5	0.29
2	0.125	1	0.301
2	0.125	2	0.316
2	0.125	4	0.31
