0.125	0.0625	0.0625	0.558
0.125	0.0625	0.125	0.594
0.125	0.0625	0.25	0.521
0.125	0.0625	0.5	0.489
0.125	0.0625	1	0.524
0.125	0.0625	2	0.494
0.125	0.0625	4	0.475
0.125	0.0625	8	0.46
0.125	0.0625	16	0.452
0.125	0.0625	32	0.435
0.125	0.0625	64	0.413
0.125	0.125	0.0625	0.595
0.125	0.125	0.125	0.644
0.125	0.125	0.25	0.573
0.125	0.125	0.5	0.558
0.125	0.125	1	0.53
0.125	0.125	2	0.514
0.125	0.125	4	0.484
0.125	0.125	8	0.448
0.125	0.125	16	0.397
0.125	0.125	32	0.405
0.125	0.125	64	0.373
0.125	0.25	0.0625	0.595
0.125	0.25	0.125	0.566
0.125	0.25	0.25	0.546
0.125	0.25	0.5	0.547
0.125	0.25	1	0.55
0.125	0.25	2	0.502
0.125	0.25	4	0.472
0.125	0.25	8	0.483
0.125	0.25	16	0.444
0.125	0.25	32	0.395
0.125	0.25	64	0.4
0.125	0.5	0.0625	0.569
0.125	0.5	0.125	0.564
0.125	0.5	0.25	0.517
0.125	0.5	0.5	0.492
0.125	0.5	1	0.48
0.125	0.5	2	0.488
0.125	0.5	4	0.44
0.125	0.5	8	0.47
0.125	0.5	16	0.432
0.125	0.5	32	0.38
0.125	0.5	64	0.392
0.125	1	0.0625	0.495
0.125	1	0.125	0.485
0.125	1	0.25	0.475
0.125	1	0.5	0.449
0.125	1	1	0.426
0.125	1	2	0.425
0.125	1	4	0.412
0.125	1	8	0.436
0.125	1	16	0.399
0.125	1	32	0.375
0.125	1	64	0.398
0.125	2	0.0625	0.472
0.125	2	0.125	0.456
0.125	2	0.25	0.454
0.125	2	0.5	0.441
0.125	2	1	0.413
0.125	2	2	0.387
0.125	2	4	0.393
0.125	2	8	0.44
0.125	2	16	0.397
0.125	2	32	0.376
0.125	2	64	0.423
0.125	4	0.0625	0.457
0.125	4	0.125	0.442
0.125	4	0.25	0.427
0.125	4	0.5	0.408
0.125	4	1	0.379
0.125	4	2	0.391
0.125	4	4	0.376
0.125	4	8	0.374
0.125	4	16	0.389
0.125	4	32	0.4
0.125	4	64	0.416
0.125	8	0.0625	0.445
0.125	8	0.125	0.429
0.125	8	0.25	0.411
0.125	8	0.5	0.403
0.125	8	1	0.392
0.125	8	2	0.384
0.125	8	4	0.379
0.125	8	8	0.37
0.125	8	16	0.389
0.125	8	32	0.399
0.125	8	64	0.421
0.125	16	0.0625	0.444
0.125	16	0.125	0.423
0.125	16	0.25	0.411
0.125	16	0.5	0.37
0.125	16	1	0.373
0.125	16	2	0.381
0.125	16	4	0.38
0.125	16	8	0.383
0.125	16	16	0.409
0.125	16	32	0.428
0.125	16	64	0.43
0.125	32	0.0625	0.421
0.125	32	0.125	0.413
0.125	32	0.25	0.401
0.125	32	0.5	0.394
0.125	32	1	0.374
0.125	32	2	0.361
0.125	32	4	0.376
0.125	32	8	0.398
0.125	32	16	0.412
0.125	32	32	0.438
0.125	32	64	0.462
0.125	64	0.0625	0.417
0.125	64	0.125	0.414
0.125	64	0.25	0.399
0.125	64	0.5	0.397
0.125	64	1	0.365
0.125	64	2	0.384
0.125	64	4	0.394
0.125	64	8	0.414
0.125	64	16	0.415
0.125	64	32	0.44
0.125	64	64	0.47
0.25	0.0625	0.0625	0.49
0.25	0.0625	0.125	0.486
0.25	0.0625	0.25	0.562
0.25	0.0625	0.5	0.567
0.25	0.0625	1	0.55
0.25	0.0625	2	0.526
0.25	0.0625	4	0.503
0.25	0.0625	8	0.489
0.25	0.0625	16	0.483
0.25	0.0625	32	0.483
0.25	0.0625	64	0.486
0.25	0.125	0.0625	0.593
0.25	0.125	0.125	0.595
0.25	0.125	0.25	0.591
0.25	0.125	0.5	0.571
0.25	0.125	1	0.538
0.25	0.125	2	0.534
0.25	0.125	4	0.506
0.25	0.125	8	0.491
0.25	0.125	16	0.479
0.25	0.125	32	0.471
0.25	0.125	64	0.474
0.25	0.25	0.0625	0.593
0.25	0.25	0.125	0.586
0.25	0.25	0.25	0.623
0.25	0.25	0.5	0.599
0.25	0.25	1	0.579
0.25	0.25	2	0.536
0.25	0.25	4	0.513
0.25	0.25	8	0.494
0.25	0.25	16	0.472
0.25	0.25	32	0.442
0.25	0.25	64	0.46
0.25	0.5	0.0625	0.582
0.25	0.5	0.125	0.589
0.25	0.5	0.25	0.624
0.25	0.5	0.5	0.601
0.25	0.5	1	0.579
0.25	0.5	2	0.533
0.25	0.5	4	0.527
0.25	0.5	8	0.495
0.25	0.5	16	0.468
0.25	0.5	32	0.476
0.25	0.5	64	0.412
0.25	1	0.0625	0.534
0.25	1	0.125	0.508
0.25	1	0.25	0.506
0.25	1	0.5	0.497
0.25	1	1	0.473
0.25	1	2	0.462
0.25	1	4	0.467
0.25	1	8	0.447
0.25	1	16	0.456
0.25	1	32	0.413
0.25	1	64	0.384
0.25	2	0.0625	0.519
0.25	2	0.125	0.497
0.25	2	0.25	0.475
0.25	2	0.5	0.464
0.25	2	1	0.435
0.25	2	2	0.421
0.25	2	4	0.418
0.25	2	8	0.41
0.25	2	16	0.406
0.25	2	32	0.378
0.25	2	64	0.367
0.25	4	0.0625	0.503
0.25	4	0.125	0.477
0.25	4	0.25	0.453
0.25	4	0.5	0.446
0.25	4	1	0.414
0.25	4	2	0.406
0.25	4	4	0.392
0.25	4	8	0.379
0.25	4	16	0.365
0.25	4	32	0.365
0.25	4	64	0.401
0.25	8	0.0625	0.485
0.25	8	0.125	0.455
0.25	8	0.25	0.433
0.25	8	0.5	0.427
0.25	8	1	0.408
0.25	8	2	0.397
0.25	8	4	0.399
0.25	8	8	0.397
0.25	8	16	0.382
0.25	8	32	0.366
0.25	8	64	0.391
0.25	16	0.0625	0.47
0.25	16	0.125	0.447
0.25	16	0.25	0.427
0.25	16	0.5	0.416
0.25	16	1	0.395
0.25	16	2	0.387
0.25	16	4	0.393
0.25	16	8	0.391
0.25	16	16	0.394
0.25	16	32	0.406
0.25	16	64	0.434
0.25	32	0.0625	0.467
0.25	32	0.125	0.448
0.25	32	0.25	0.437
0.25	32	0.5	0.424
0.25	32	1	0.402
0.25	32	2	0.392
0.25	32	4	0.412
0.25	32	8	0.402
0.25	32	16	0.412
0.25	32	32	0.438
0.25	32	64	0.427
0.25	64	0.0625	0.448
0.25	64	0.125	0.433
0.25	64	0.25	0.416
0.25	64	0.5	0.405
0.25	64	1	0.385
0.25	64	2	0.391
0.25	64	4	0.377
0.25	64	8	0.391
0.25	64	16	0.402
0.25	64	32	0.43
0.25	64	64	0.467
0.5	0.0625	0.0625	0.446
0.5	0.0625	0.125	0.39
0.5	0.0625	0.25	0.509
0.5	0.0625	0.5	0.533
0.5	0.0625	1	0.531
0.5	0.0625	2	0.521
0.5	0.0625	4	0.514
0.5	0.0625	8	0.509
0.5	0.0625	16	0.499
0.5	0.0625	32	0.497
0.5	0.0625	64	0.497
0.5	0.125	0.0625	0.506
0.5	0.125	0.125	0.523
0.5	0.125	0.25	0.565
0.5	0.125	0.5	0.568
0.5	0.125	1	0.56
0.5	0.125	2	0.545
0.5	0.125	4	0.527
0.5	0.125	8	0.508
0.5	0.125	16	0.496
0.5	0.125	32	0.492
0.5	0.125	64	0.497
0.5	0.25	0.0625	0.6
0.5	0.25	0.125	0.611
0.5	0.25	0.25	0.591
0.5	0.25	0.5	0.575
0.5	0.25	1	0.573
0.5	0.25	2	0.568
0.5	0.25	4	0.536
0.5	0.25	8	0.517
0.5	0.25	16	0.502
0.5	0.25	32	0.5
0.5	0.25	64	0.503
0.5	0.5	0.0625	0.616
0.5	0.5	0.125	0.601
0.5	0.5	0.25	0.583
0.5	0.5	0.5	0.58
0.5	0.5	1	0.593
0.5	0.5	2	0.585
0.5	0.5	4	0.54
0.5	0.5	8	0.524
0.5	0.5	16	0.498
0.5	0.5	32	0.481
0.5	0.5	64	0.475
0.5	1	0.0625	0.59
0.5	1	0.125	0.576
0.5	1	0.25	0.56
0.5	1	0.5	0.607
0.5	1	1	0.591
0.5	1	2	0.563
0.5	1	4	0.516
0.5	1	8	0.497
0.5	1	16	0.491
0.5	1	32	0.461
0.5	1	64	0.453
0.5	2	0.0625	0.561
0.5	2	0.125	0.55
0.5	2	0.25	0.519
0.5	2	0.5	0.497
0.5	2	1	0.489
0.5	2	2	0.46
0.5	2	4	0.449
0.5	2	8	0.431
0.5	2	16	0.425
0.5	2	32	0.436
0.5	2	64	0.409
0.5	4	0.0625	0.534
0.5	4	0.125	0.521
0.5	4	0.25	0.494
0.5	4	0.5	0.473
0.5	4	1	0.45
0.5	4	2	0.433
0.5	4	4	0.411
0.5	4	8	0.404
0.5	4	16	0.391
0.5	4	32	0.398
0.5	4	64	0.404
0.5	8	0.0625	0.507
0.5	8	0.125	0.491
0.5	8	0.25	0.464
0.5	8	0.5	0.447
0.5	8	1	0.433
0.5	8	2	0.407
0.5	8	4	0.401
0.5	8	8	0.402
0.5	8	16	0.398
0.5	8	32	0.39
0.5	8	64	0.409
0.5	16	0.0625	0.491
0.5	16	0.125	0.48
0.5	16	0.25	0.459
0.5	16	0.5	0.435
0.5	16	1	0.416
0.5	16	2	0.4
0.5	16	4	0.395
0.5	16	8	0.403
0.5	16	16	0.393
0.5	16	32	0.409
0.5	16	64	0.438
0.5	32	0.0625	0.493
0.5	32	0.125	0.483
0.5	32	0.25	0.455
0.5	32	0.5	0.435
0.5	32	1	0.417
0.5	32	2	0.399
0.5	32	4	0.399
0.5	32	8	0.404
0.5	32	16	0.41
0.5	32	32	0.428
0.5	32	64	0.459
0.5	64	0.0625	0.502
0.5	64	0.125	0.485
0.5	64	0.25	0.464
0.5	64	0.5	0.447
0.5	64	1	0.425
0.5	64	2	0.419
0.5	64	4	0.414
0.5	64	8	0.42
0.5	64	16	0.427
0.5	64	32	0.451
0.5	64	64	0.46
1	0.0625	0.0625	0.438
1	0.0625	0.125	0.351
1	0.0625	0.25	0.45
1	0.0625	0.5	0.424
1	0.0625	1	0.453
1	0.0625	2	0.445
1	0.0625	4	0.402
1	0.0625	8	0.489
1	0.0625	16	0.479
1	0.0625	32	0.476
1	0.0625	64	0.48
1	0.125	0.0625	0.496
1	0.125	0.125	0.535
1	0.125	0.25	0.545
1	0.125	0.5	0.558
1	0.125	1	0.558
1	0.125	2	0.538
1	0.125	4	0.513
1	0.125	8	0.508
1	0.125	16	0.5
1	0.125	32	0.488
1	0.125	64	0.499
1	0.25	0.0625	0.575
1	0.25	0.125	0.578
1	0.25	0.25	0.581
1	0.25	0.5	0.565
1	0.25	1	0.576
1	0.25	2	0.55
1	0.25	4	0.539
1	0.25	8	0.523
1	0.25	16	0.511
1	0.25	32	0.492
1	0.25	64	0.492
1	0.5	0.0625	0.605
1	0.5	0.125	0.603
1	0.5	0.25	0.602
1	0.5	0.5	0.587
1	0.5	1	0.575
1	0.5	2	0.563
1	0.5	4	0.553
1	0.5	8	0.53
1	0.5	16	0.516
1	0.5	32	0.501
1	0.5	64	0.491
1	1	0.0625	0.615
1	1	0.125	0.612
1	1	0.25	0.605
1	1	0.5	0.587
1	1	1	0.565
1	1	2	0.552
1	1	4	0.544
1	1	8	0.532
1	1	16	0.51
1	1	32	0.481
1	1	64	0.473
1	2	0.0625	0.584
1	2	0.125	0.579
1	2	0.25	0.563
1	2	0.5	0.545
1	2	1	0.521
1	2	2	0.508
1	2	4	0.513
1	2	8	0.505
1	2	16	0.477
1	2	32	0.464
1	2	64	0.457
1	4	0.0625	0.542
1	4	0.125	0.537
1	4	0.25	0.53
1	4	0.5	0.513
1	4	1	0.493
1	4	2	0.476
1	4	4	0.46
1	4	8	0.438
1	4	16	0.435
1	4	32	0.415
1	4	64	0.426
1	8	0.0625	0.527
1	8	0.125	0.519
1	8	0.25	0.507
1	8	0.5	0.478
1	8	1	0.467
1	8	2	0.446
1	8	4	0.425
1	8	8	0.416
1	8	16	0.418
1	8	32	0.41
1	8	64	0.432
1	16	0.0625	0.504
1	16	0.125	0.5
1	16	0.25	0.492
1	16	0.5	0.467
1	16	1	0.444
1	16	2	0.419
1	16	4	0.412
1	16	8	0.403
1	16	16	0.405
1	16	32	0.407
1	16	64	0.443
1	32	0.0625	0.498
1	32	0.125	0.498
1	32	0.25	0.49
1	32	0.5	0.464
1	32	1	0.441
1	32	2	0.421
